tag,mode,route,Z,A,threads,check,status,detail
v11.5.0.beta,patched-off,bound_decay,13,27,1,parity,PASS,digest=5d76d857bed82a6e13e1b2788e7d1b62ab8123befcff33c20389d08b691cdfaf reference=5d76d857bed82a6e13e1b2788e7d1b62ab8123befcff33c20389d08b691cdfaf
v11.5.0.beta,patched-off,bound_decay,13,27,1,threads,PASS,one-thread reference
v11.5.0.beta,patched-off,bound_decay,13,27,4,events,PASS,events=1000
v11.5.0.beta,patched-off,bound_decay,13,27,4,route,PASS,"rest=(1, 0) atomic_tracks=0"
v11.5.0.beta,patched-off,bound_decay,13,27,4,target,PASS,"material=['1', '1', '13', '27', '0x1p+0'] expected=(1, 1, 13, 27, 1.0)"
v11.5.0.beta,patched-off,bound_decay,13,27,4,particles,PASS,particle table
v11.5.0.beta,patched-off,bound_decay,13,27,4,config,PASS,"config=['compiled', 'compiled', 'none', 'none'] expected=['compiled', 'compiled', 'none', 'none']"
v11.5.0.beta,patched-off,bound_decay,13,27,4,lookups,PASS,not enabled
v11.5.0.beta,patched-off,bound_decay,13,27,4,levels,PASS,off/default level array vs pristine
v11.5.0.beta,patched-off,bound_decay,13,27,4,d9,PASS,not enabled
v11.5.0.beta,patched-off,bound_decay,13,27,4,parity,PASS,digest=5d76d857bed82a6e13e1b2788e7d1b62ab8123befcff33c20389d08b691cdfaf reference=5d76d857bed82a6e13e1b2788e7d1b62ab8123befcff33c20389d08b691cdfaf
v11.5.0.beta,patched-off,bound_decay,13,27,4,threads,PASS,sorted worker records vs one thread
v11.5.0.beta,patched-default,bound_decay,13,27,1,events,PASS,events=1000
v11.5.0.beta,patched-default,bound_decay,13,27,1,route,PASS,"rest=(1, 0) atomic_tracks=0"
v11.5.0.beta,patched-default,bound_decay,13,27,1,target,PASS,"material=['1', '1', '13', '27', '0x1p+0'] expected=(1, 1, 13, 27, 1.0)"
v11.5.0.beta,patched-default,bound_decay,13,27,1,particles,PASS,particle table
v11.5.0.beta,patched-default,bound_decay,13,27,1,config,PASS,"config=['parity', 'compiled', 'set', '0.5.1'] expected=['parity', 'compiled', 'set', '0.5.1']"
v11.5.0.beta,patched-default,bound_decay,13,27,1,lookups,PASS,not enabled
v11.5.0.beta,patched-default,bound_decay,13,27,1,levels,PASS,off/default level array vs pristine
v11.5.0.beta,patched-default,bound_decay,13,27,1,d9,PASS,not enabled
v11.5.0.beta,patched-default,bound_decay,13,27,1,parity,PASS,digest=5d76d857bed82a6e13e1b2788e7d1b62ab8123befcff33c20389d08b691cdfaf reference=5d76d857bed82a6e13e1b2788e7d1b62ab8123befcff33c20389d08b691cdfaf
v11.5.0.beta,patched-default,bound_decay,13,27,1,threads,PASS,one-thread reference
v11.5.0.beta,patched-default,bound_decay,13,27,4,events,PASS,events=1000
v11.5.0.beta,patched-default,bound_decay,13,27,4,route,PASS,"rest=(1, 0) atomic_tracks=0"
v11.5.0.beta,patched-default,bound_decay,13,27,4,target,PASS,"material=['1', '1', '13', '27', '0x1p+0'] expected=(1, 1, 13, 27, 1.0)"
v11.5.0.beta,patched-default,bound_decay,13,27,4,particles,PASS,particle table
v11.5.0.beta,patched-default,bound_decay,13,27,4,config,PASS,"config=['parity', 'compiled', 'set', '0.5.1'] expected=['parity', 'compiled', 'set', '0.5.1']"
v11.5.0.beta,patched-default,bound_decay,13,27,4,lookups,PASS,not enabled
v11.5.0.beta,patched-default,bound_decay,13,27,4,levels,PASS,off/default level array vs pristine
v11.5.0.beta,patched-default,bound_decay,13,27,4,d9,PASS,not enabled
v11.5.0.beta,patched-default,bound_decay,13,27,4,parity,PASS,digest=5d76d857bed82a6e13e1b2788e7d1b62ab8123befcff33c20389d08b691cdfaf reference=5d76d857bed82a6e13e1b2788e7d1b62ab8123befcff33c20389d08b691cdfaf
v11.5.0.beta,patched-default,bound_decay,13,27,4,threads,PASS,sorted worker records vs one thread
v11.5.0.beta,enabled,bound_decay,13,27,1,events,PASS,events=1000
v11.5.0.beta,enabled,bound_decay,13,27,1,route,PASS,"rest=(1, 0) atomic_tracks=0"
v11.5.0.beta,enabled,bound_decay,13,27,1,target,PASS,"material=['1', '1', '13', '27', '0x1p+0'] expected=(1, 1, 13, 27, 1.0)"
v11.5.0.beta,enabled,bound_decay,13,27,1,particles,PASS,particle table
v11.5.0.beta,enabled,bound_decay,13,27,1,config,PASS,"config=['mizuno2025', 'mudirac130', 'set', '0.5.1'] expected=['mizuno2025', 'mudirac130', 'set', '0.5.1']"
v11.5.0.beta,enabled,bound_decay,13,27,1,lookups,PASS,"rate zeff kshell checked for 13,27"
v11.5.0.beta,enabled,bound_decay,13,27,1,levels,PASS,levels=table:7 formula:6
v11.5.0.beta,enabled,bound_decay,13,27,1,d9,PASS,transitions table=3156 mixed=1000 formula=1772
v11.5.0.beta,enabled,bound_decay,13,27,1,parity,PASS,digest=0078f56bfb588bcbbdcf9c21c98c5f6f241fceab738dcf9b0de8c15a1cbdb8b5 reference=0078f56bfb588bcbbdcf9c21c98c5f6f241fceab738dcf9b0de8c15a1cbdb8b5
v11.5.0.beta,enabled,bound_decay,13,27,1,threads,PASS,one-thread reference
v11.5.0.beta,enabled,bound_decay,13,27,4,events,PASS,events=1000
v11.5.0.beta,enabled,bound_decay,13,27,4,route,PASS,"rest=(1, 0) atomic_tracks=0"
v11.5.0.beta,enabled,bound_decay,13,27,4,target,PASS,"material=['1', '1', '13', '27', '0x1p+0'] expected=(1, 1, 13, 27, 1.0)"
v11.5.0.beta,enabled,bound_decay,13,27,4,particles,PASS,particle table
v11.5.0.beta,enabled,bound_decay,13,27,4,config,PASS,"config=['mizuno2025', 'mudirac130', 'set', '0.5.1'] expected=['mizuno2025', 'mudirac130', 'set', '0.5.1']"
v11.5.0.beta,enabled,bound_decay,13,27,4,lookups,PASS,"rate zeff kshell checked for 13,27"
v11.5.0.beta,enabled,bound_decay,13,27,4,levels,PASS,levels=table:7 formula:6
v11.5.0.beta,enabled,bound_decay,13,27,4,d9,PASS,transitions table=3156 mixed=1000 formula=1772
v11.5.0.beta,enabled,bound_decay,13,27,4,parity,PASS,digest=0078f56bfb588bcbbdcf9c21c98c5f6f241fceab738dcf9b0de8c15a1cbdb8b5 reference=0078f56bfb588bcbbdcf9c21c98c5f6f241fceab738dcf9b0de8c15a1cbdb8b5
v11.5.0.beta,enabled,bound_decay,13,27,4,threads,PASS,sorted worker records vs one thread
v11.5.0.beta,preserved,bound_decay,13,27,1,events,PASS,events=1000
v11.5.0.beta,preserved,bound_decay,13,27,1,route,PASS,"rest=(1, 0) atomic_tracks=0"
v11.5.0.beta,preserved,bound_decay,13,27,1,target,PASS,"material=['1', '1', '13', '27', '0x1p+0'] expected=(1, 1, 13, 27, 1.0)"
v11.5.0.beta,preserved,bound_decay,13,27,1,particles,PASS,particle table
v11.5.0.beta,preserved,bound_decay,13,27,1,config,PASS,config=None expected=None
v11.5.0.beta,preserved,bound_decay,13,27,1,lookups,PASS,not enabled
v11.5.0.beta,preserved,bound_decay,13,27,1,levels,PASS,reference
v11.5.0.beta,preserved,bound_decay,13,27,1,d9,PASS,not enabled
v11.5.0.beta,preserved,bound_decay,13,27,1,parity,INFO,digest=5d76d857bed82a6e13e1b2788e7d1b62ab8123befcff33c20389d08b691cdfaf reference=5d76d857bed82a6e13e1b2788e7d1b62ab8123befcff33c20389d08b691cdfaf
v11.5.0.beta,preserved,bound_decay,13,27,1,threads,PASS,one-thread reference
v11.5.0.beta,pristine,bound_decay,14,28,1,events,PASS,events=1000
v11.5.0.beta,pristine,bound_decay,14,28,1,route,PASS,"rest=(1, 0) atomic_tracks=0"
v11.5.0.beta,pristine,bound_decay,14,28,1,target,PASS,"material=['1', '1', '14', '28', '0x1p+0'] expected=(1, 1, 14, 28, 1.0)"
v11.5.0.beta,pristine,bound_decay,14,28,1,particles,PASS,particle table
v11.5.0.beta,pristine,bound_decay,14,28,1,config,PASS,config=None expected=None
v11.5.0.beta,pristine,bound_decay,14,28,1,lookups,PASS,not enabled
v11.5.0.beta,pristine,bound_decay,14,28,1,levels,PASS,reference
v11.5.0.beta,pristine,bound_decay,14,28,1,d9,PASS,not enabled
v11.5.0.beta,pristine,bound_decay,14,28,1,parity,PASS,digest=2e798b28f04b260486ac600b27d81405848d81043ce8018c564083ddf88e8277 reference=2e798b28f04b260486ac600b27d81405848d81043ce8018c564083ddf88e8277
v11.5.0.beta,pristine,bound_decay,14,28,1,threads,PASS,one-thread reference
v11.5.0.beta,pristine,bound_decay,14,28,4,events,PASS,events=1000
v11.5.0.beta,pristine,bound_decay,14,28,4,route,PASS,"rest=(1, 0) atomic_tracks=0"
v11.5.0.beta,pristine,bound_decay,14,28,4,target,PASS,"material=['1', '1', '14', '28', '0x1p+0'] expected=(1, 1, 14, 28, 1.0)"
v11.5.0.beta,pristine,bound_decay,14,28,4,particles,PASS,particle table
v11.5.0.beta,pristine,bound_decay,14,28,4,config,PASS,config=None expected=None
v11.5.0.beta,pristine,bound_decay,14,28,4,lookups,PASS,not enabled
v11.5.0.beta,pristine,bound_decay,14,28,4,levels,PASS,reference
v11.5.0.beta,pristine,bound_decay,14,28,4,d9,PASS,not enabled
v11.5.0.beta,pristine,bound_decay,14,28,4,parity,PASS,digest=2e798b28f04b260486ac600b27d81405848d81043ce8018c564083ddf88e8277 reference=2e798b28f04b260486ac600b27d81405848d81043ce8018c564083ddf88e8277
v11.5.0.beta,pristine,bound_decay,14,28,4,threads,PASS,sorted worker records vs one thread
v11.5.0.beta,patched-off,bound_decay,14,28,1,events,PASS,events=1000
v11.5.0.beta,patched-off,bound_decay,14,28,1,route,PASS,"rest=(1, 0) atomic_tracks=0"
v11.5.0.beta,patched-off,bound_decay,14,28,1,target,PASS,"material=['1', '1', '14', '28', '0x1p+0'] expected=(1, 1, 14, 28, 1.0)"
v11.5.0.beta,patched-off,bound_decay,14,28,1,particles,PASS,particle table
v11.5.0.beta,patched-off,bound_decay,14,28,1,config,PASS,"config=['compiled', 'compiled', 'none', 'none'] expected=['compiled', 'compiled', 'none', 'none']"
v11.5.0.beta,patched-off,bound_decay,14,28,1,lookups,PASS,not enabled
v11.5.0.beta,patched-off,bound_decay,14,28,1,levels,PASS,off/default level array vs pristine
v11.5.0.beta,patched-off,bound_decay,14,28,1,d9,PASS,not enabled
v11.5.0.beta,patched-off,bound_decay,14,28,1,parity,PASS,digest=2e798b28f04b260486ac600b27d81405848d81043ce8018c564083ddf88e8277 reference=2e798b28f04b260486ac600b27d81405848d81043ce8018c564083ddf88e8277
v11.5.0.beta,patched-off,bound_decay,14,28,1,threads,PASS,one-thread reference
v11.5.0.beta,patched-off,bound_decay,14,28,4,events,PASS,events=1000
v11.5.0.beta,patched-off,bound_decay,14,28,4,route,PASS,"rest=(1, 0) atomic_tracks=0"
v11.5.0.beta,patched-off,bound_decay,14,28,4,target,PASS,"material=['1', '1', '14', '28', '0x1p+0'] expected=(1, 1, 14, 28, 1.0)"
v11.5.0.beta,patched-off,bound_decay,14,28,4,particles,PASS,particle table
v11.5.0.beta,patched-off,bound_decay,14,28,4,config,PASS,"config=['compiled', 'compiled', 'none', 'none'] expected=['compiled', 'compiled', 'none', 'none']"
v11.5.0.beta,patched-off,bound_decay,14,28,4,lookups,PASS,not enabled
v11.5.0.beta,patched-off,bound_decay,14,28,4,levels,PASS,off/default level array vs pristine
v11.5.0.beta,patched-off,bound_decay,14,28,4,d9,PASS,not enabled
v11.5.0.beta,patched-off,bound_decay,14,28,4,parity,PASS,digest=2e798b28f04b260486ac600b27d81405848d81043ce8018c564083ddf88e8277 reference=2e798b28f04b260486ac600b27d81405848d81043ce8018c564083ddf88e8277
v11.5.0.beta,patched-off,bound_decay,14,28,4,threads,PASS,sorted worker records vs one thread
v11.5.0.beta,patched-default,bound_decay,14,28,1,events,PASS,events=1000
v11.5.0.beta,patched-default,bound_decay,14,28,1,route,PASS,"rest=(1, 0) atomic_tracks=0"
v11.5.0.beta,patched-default,bound_decay,14,28,1,target,PASS,"material=['1', '1', '14', '28', '0x1p+0'] expected=(1, 1, 14, 28, 1.0)"
v11.5.0.beta,patched-default,bound_decay,14,28,1,particles,PASS,particle table
v11.5.0.beta,patched-default,bound_decay,14,28,1,config,PASS,"config=['parity', 'compiled', 'set', '0.5.1'] expected=['parity', 'compiled', 'set', '0.5.1']"
v11.5.0.beta,patched-default,bound_decay,14,28,1,lookups,PASS,not enabled
v11.5.0.beta,patched-default,bound_decay,14,28,1,levels,PASS,off/default level array vs pristine
v11.5.0.beta,patched-default,bound_decay,14,28,1,d9,PASS,not enabled
v11.5.0.beta,patched-default,bound_decay,14,28,1,parity,PASS,digest=2e798b28f04b260486ac600b27d81405848d81043ce8018c564083ddf88e8277 reference=2e798b28f04b260486ac600b27d81405848d81043ce8018c564083ddf88e8277
v11.5.0.beta,patched-default,bound_decay,14,28,1,threads,PASS,one-thread reference
v11.5.0.beta,patched-default,bound_decay,14,28,4,events,PASS,events=1000
v11.5.0.beta,patched-default,bound_decay,14,28,4,route,PASS,"rest=(1, 0) atomic_tracks=0"
v11.5.0.beta,patched-default,bound_decay,14,28,4,target,PASS,"material=['1', '1', '14', '28', '0x1p+0'] expected=(1, 1, 14, 28, 1.0)"
v11.5.0.beta,patched-default,bound_decay,14,28,4,particles,PASS,particle table
v11.5.0.beta,patched-default,bound_decay,14,28,4,config,PASS,"config=['parity', 'compiled', 'set', '0.5.1'] expected=['parity', 'compiled', 'set', '0.5.1']"
v11.5.0.beta,patched-default,bound_decay,14,28,4,lookups,PASS,not enabled
v11.5.0.beta,patched-default,bound_decay,14,28,4,levels,PASS,off/default level array vs pristine
v11.5.0.beta,patched-default,bound_decay,14,28,4,d9,PASS,not enabled
v11.5.0.beta,patched-default,bound_decay,14,28,4,parity,PASS,digest=2e798b28f04b260486ac600b27d81405848d81043ce8018c564083ddf88e8277 reference=2e798b28f04b260486ac600b27d81405848d81043ce8018c564083ddf88e8277
v11.5.0.beta,patched-default,bound_decay,14,28,4,threads,PASS,sorted worker records vs one thread
v11.5.0.beta,enabled,bound_decay,14,28,1,events,PASS,events=1000
v11.5.0.beta,enabled,bound_decay,14,28,1,route,PASS,"rest=(1, 0) atomic_tracks=0"
v11.5.0.beta,enabled,bound_decay,14,28,1,target,PASS,"material=['1', '1', '14', '28', '0x1p+0'] expected=(1, 1, 14, 28, 1.0)"
v11.5.0.beta,enabled,bound_decay,14,28,1,particles,PASS,particle table
v11.5.0.beta,enabled,bound_decay,14,28,1,config,PASS,"config=['mizuno2025', 'mudirac130', 'set', '0.5.1'] expected=['mizuno2025', 'mudirac130', 'set', '0.5.1']"
v11.5.0.beta,enabled,bound_decay,14,28,1,lookups,PASS,"rate zeff kshell checked for 14,28"
v11.5.0.beta,enabled,bound_decay,14,28,1,levels,PASS,levels=table:7 formula:6
v11.5.0.beta,enabled,bound_decay,14,28,1,d9,PASS,transitions table=3064 mixed=1000 formula=1668
v11.5.0.beta,enabled,bound_decay,14,28,1,parity,PASS,digest=22f7c9f54d69ab5ae2f439c50828c97c5715139b54bc6fe3fa5928a78b0eaac8 reference=22f7c9f54d69ab5ae2f439c50828c97c5715139b54bc6fe3fa5928a78b0eaac8
v11.5.0.beta,enabled,bound_decay,14,28,1,threads,PASS,one-thread reference
v11.5.0.beta,enabled,bound_decay,14,28,4,events,PASS,events=1000
v11.5.0.beta,enabled,bound_decay,14,28,4,route,PASS,"rest=(1, 0) atomic_tracks=0"
v11.5.0.beta,enabled,bound_decay,14,28,4,target,PASS,"material=['1', '1', '14', '28', '0x1p+0'] expected=(1, 1, 14, 28, 1.0)"
v11.5.0.beta,enabled,bound_decay,14,28,4,particles,PASS,particle table
v11.5.0.beta,enabled,bound_decay,14,28,4,config,PASS,"config=['mizuno2025', 'mudirac130', 'set', '0.5.1'] expected=['mizuno2025', 'mudirac130', 'set', '0.5.1']"
v11.5.0.beta,enabled,bound_decay,14,28,4,lookups,PASS,"rate zeff kshell checked for 14,28"
v11.5.0.beta,enabled,bound_decay,14,28,4,levels,PASS,levels=table:7 formula:6
v11.5.0.beta,enabled,bound_decay,14,28,4,d9,PASS,transitions table=3064 mixed=1000 formula=1668
v11.5.0.beta,enabled,bound_decay,14,28,4,parity,PASS,digest=22f7c9f54d69ab5ae2f439c50828c97c5715139b54bc6fe3fa5928a78b0eaac8 reference=22f7c9f54d69ab5ae2f439c50828c97c5715139b54bc6fe3fa5928a78b0eaac8
v11.5.0.beta,enabled,bound_decay,14,28,4,threads,PASS,sorted worker records vs one thread
v11.5.0.beta,preserved,bound_decay,14,28,1,events,PASS,events=1000
v11.5.0.beta,preserved,bound_decay,14,28,1,route,PASS,"rest=(1, 0) atomic_tracks=0"
v11.5.0.beta,preserved,bound_decay,14,28,1,target,PASS,"material=['1', '1', '14', '28', '0x1p+0'] expected=(1, 1, 14, 28, 1.0)"
v11.5.0.beta,preserved,bound_decay,14,28,1,particles,PASS,particle table
v11.5.0.beta,preserved,bound_decay,14,28,1,config,PASS,config=None expected=None
v11.5.0.beta,preserved,bound_decay,14,28,1,lookups,PASS,not enabled
v11.5.0.beta,preserved,bound_decay,14,28,1,levels,PASS,reference
v11.5.0.beta,preserved,bound_decay,14,28,1,d9,PASS,not enabled
v11.5.0.beta,preserved,bound_decay,14,28,1,parity,INFO,digest=2e798b28f04b260486ac600b27d81405848d81043ce8018c564083ddf88e8277 reference=2e798b28f04b260486ac600b27d81405848d81043ce8018c564083ddf88e8277
v11.5.0.beta,preserved,bound_decay,14,28,1,threads,PASS,one-thread reference
v11.5.0.beta,pristine,bound_decay,47,107,1,events,PASS,events=1000
v11.5.0.beta,pristine,bound_decay,47,107,1,route,PASS,"rest=(1, 0) atomic_tracks=0"
v11.5.0.beta,pristine,bound_decay,47,107,1,target,PASS,"material=['1', '1', '47', '107', '0x1p+0'] expected=(1, 1, 47, 107, 1.0)"
v11.5.0.beta,pristine,bound_decay,47,107,1,particles,PASS,particle table
v11.5.0.beta,pristine,bound_decay,47,107,1,config,PASS,config=None expected=None
v11.5.0.beta,pristine,bound_decay,47,107,1,lookups,PASS,not enabled
v11.5.0.beta,pristine,bound_decay,47,107,1,levels,PASS,reference
v11.5.0.beta,pristine,bound_decay,47,107,1,d9,PASS,not enabled
v11.5.0.beta,pristine,bound_decay,47,107,1,parity,PASS,digest=bf0e290ce46a95b822cf776c00e8728d281558cd9ddc3dd121075dc9ccea4810 reference=bf0e290ce46a95b822cf776c00e8728d281558cd9ddc3dd121075dc9ccea4810
v11.5.0.beta,pristine,bound_decay,47,107,1,threads,PASS,one-thread reference
v11.5.0.beta,pristine,bound_decay,47,107,4,events,PASS,events=1000
v11.5.0.beta,pristine,bound_decay,47,107,4,route,PASS,"rest=(1, 0) atomic_tracks=0"
v11.5.0.beta,pristine,bound_decay,47,107,4,target,PASS,"material=['1', '1', '47', '107', '0x1p+0'] expected=(1, 1, 47, 107, 1.0)"
v11.5.0.beta,pristine,bound_decay,47,107,4,particles,PASS,particle table
v11.5.0.beta,pristine,bound_decay,47,107,4,config,PASS,config=None expected=None
v11.5.0.beta,pristine,bound_decay,47,107,4,lookups,PASS,not enabled
v11.5.0.beta,pristine,bound_decay,47,107,4,levels,PASS,reference
v11.5.0.beta,pristine,bound_decay,47,107,4,d9,PASS,not enabled
v11.5.0.beta,pristine,bound_decay,47,107,4,parity,PASS,digest=bf0e290ce46a95b822cf776c00e8728d281558cd9ddc3dd121075dc9ccea4810 reference=bf0e290ce46a95b822cf776c00e8728d281558cd9ddc3dd121075dc9ccea4810
v11.5.0.beta,pristine,bound_decay,47,107,4,threads,PASS,sorted worker records vs one thread
v11.5.0.beta,patched-off,bound_decay,47,107,1,events,PASS,events=1000
v11.5.0.beta,patched-off,bound_decay,47,107,1,route,PASS,"rest=(1, 0) atomic_tracks=0"
v11.5.0.beta,patched-off,bound_decay,47,107,1,target,PASS,"material=['1', '1', '47', '107', '0x1p+0'] expected=(1, 1, 47, 107, 1.0)"
v11.5.0.beta,patched-off,bound_decay,47,107,1,particles,PASS,particle table
v11.5.0.beta,patched-off,bound_decay,47,107,1,config,PASS,"config=['compiled', 'compiled', 'none', 'none'] expected=['compiled', 'compiled', 'none', 'none']"
v11.5.0.beta,patched-off,bound_decay,47,107,1,lookups,PASS,not enabled
v11.5.0.beta,patched-off,bound_decay,47,107,1,levels,PASS,off/default level array vs pristine
v11.5.0.beta,patched-off,bound_decay,47,107,1,d9,PASS,not enabled
v11.5.0.beta,patched-off,bound_decay,47,107,1,parity,PASS,digest=bf0e290ce46a95b822cf776c00e8728d281558cd9ddc3dd121075dc9ccea4810 reference=bf0e290ce46a95b822cf776c00e8728d281558cd9ddc3dd121075dc9ccea4810
v11.5.0.beta,patched-off,bound_decay,47,107,1,threads,PASS,one-thread reference
v11.5.0.beta,patched-off,bound_decay,47,107,4,events,PASS,events=1000
v11.5.0.beta,patched-off,bound_decay,47,107,4,route,PASS,"rest=(1, 0) atomic_tracks=0"
v11.5.0.beta,patched-off,bound_decay,47,107,4,target,PASS,"material=['1', '1', '47', '107', '0x1p+0'] expected=(1, 1, 47, 107, 1.0)"
v11.5.0.beta,patched-off,bound_decay,47,107,4,particles,PASS,particle table
v11.5.0.beta,patched-off,bound_decay,47,107,4,config,PASS,"config=['compiled', 'compiled', 'none', 'none'] expected=['compiled', 'compiled', 'none', 'none']"
v11.5.0.beta,patched-off,bound_decay,47,107,4,lookups,PASS,not enabled
v11.5.0.beta,patched-off,bound_decay,47,107,4,levels,PASS,off/default level array vs pristine
v11.5.0.beta,patched-off,bound_decay,47,107,4,d9,PASS,not enabled
v11.5.0.beta,patched-off,bound_decay,47,107,4,parity,PASS,digest=bf0e290ce46a95b822cf776c00e8728d281558cd9ddc3dd121075dc9ccea4810 reference=bf0e290ce46a95b822cf776c00e8728d281558cd9ddc3dd121075dc9ccea4810
v11.5.0.beta,patched-off,bound_decay,47,107,4,threads,PASS,sorted worker records vs one thread
v11.5.0.beta,patched-default,bound_decay,47,107,1,events,PASS,events=1000
v11.5.0.beta,patched-default,bound_decay,47,107,1,route,PASS,"rest=(1, 0) atomic_tracks=0"
v11.5.0.beta,patched-default,bound_decay,47,107,1,target,PASS,"material=['1', '1', '47', '107', '0x1p+0'] expected=(1, 1, 47, 107, 1.0)"
v11.5.0.beta,patched-default,bound_decay,47,107,1,particles,PASS,particle table
v11.5.0.beta,patched-default,bound_decay,47,107,1,config,PASS,"config=['parity', 'compiled', 'set', '0.5.1'] expected=['parity', 'compiled', 'set', '0.5.1']"
v11.5.0.beta,patched-default,bound_decay,47,107,1,lookups,PASS,not enabled
v11.5.0.beta,patched-default,bound_decay,47,107,1,levels,PASS,off/default level array vs pristine
v11.5.0.beta,patched-default,bound_decay,47,107,1,d9,PASS,not enabled
v11.5.0.beta,patched-default,bound_decay,47,107,1,parity,PASS,digest=bf0e290ce46a95b822cf776c00e8728d281558cd9ddc3dd121075dc9ccea4810 reference=bf0e290ce46a95b822cf776c00e8728d281558cd9ddc3dd121075dc9ccea4810
v11.5.0.beta,patched-default,bound_decay,47,107,1,threads,PASS,one-thread reference
v11.5.0.beta,patched-default,bound_decay,47,107,4,events,PASS,events=1000
v11.5.0.beta,patched-default,bound_decay,47,107,4,route,PASS,"rest=(1, 0) atomic_tracks=0"
v11.5.0.beta,patched-default,bound_decay,47,107,4,target,PASS,"material=['1', '1', '47', '107', '0x1p+0'] expected=(1, 1, 47, 107, 1.0)"
v11.5.0.beta,patched-default,bound_decay,47,107,4,particles,PASS,particle table
v11.5.0.beta,patched-default,bound_decay,47,107,4,config,PASS,"config=['parity', 'compiled', 'set', '0.5.1'] expected=['parity', 'compiled', 'set', '0.5.1']"
v11.5.0.beta,patched-default,bound_decay,47,107,4,lookups,PASS,not enabled
v11.5.0.beta,patched-default,bound_decay,47,107,4,levels,PASS,off/default level array vs pristine
v11.5.0.beta,patched-default,bound_decay,47,107,4,d9,PASS,not enabled
v11.5.0.beta,patched-default,bound_decay,47,107,4,parity,PASS,digest=bf0e290ce46a95b822cf776c00e8728d281558cd9ddc3dd121075dc9ccea4810 reference=bf0e290ce46a95b822cf776c00e8728d281558cd9ddc3dd121075dc9ccea4810
v11.5.0.beta,patched-default,bound_decay,47,107,4,threads,PASS,sorted worker records vs one thread
v11.5.0.beta,enabled,bound_decay,47,107,1,events,PASS,events=1000
v11.5.0.beta,enabled,bound_decay,47,107,1,route,PASS,"rest=(1, 0) atomic_tracks=0"
v11.5.0.beta,enabled,bound_decay,47,107,1,target,PASS,"material=['1', '1', '47', '107', '0x1p+0'] expected=(1, 1, 47, 107, 1.0)"
v11.5.0.beta,enabled,bound_decay,47,107,1,particles,PASS,particle table
v11.5.0.beta,enabled,bound_decay,47,107,1,config,PASS,"config=['mizuno2025', 'mudirac130', 'set', '0.5.1'] expected=['mizuno2025', 'mudirac130', 'set', '0.5.1']"
v11.5.0.beta,enabled,bound_decay,47,107,1,lookups,PASS,"rate zeff kshell checked for 47,107"
v11.5.0.beta,enabled,bound_decay,47,107,1,levels,PASS,levels=table:7 formula:6
v11.5.0.beta,enabled,bound_decay,47,107,1,d9,PASS,transitions table=2826 mixed=1000 formula=1279
v11.5.0.beta,enabled,bound_decay,47,107,1,parity,PASS,digest=62474280c24f992614437a7c3cc0e6ec63416a0fc1f3554f04fff02bd9fb88bc reference=62474280c24f992614437a7c3cc0e6ec63416a0fc1f3554f04fff02bd9fb88bc
v11.5.0.beta,enabled,bound_decay,47,107,1,threads,PASS,one-thread reference
v11.5.0.beta,enabled,bound_decay,47,107,4,events,PASS,events=1000
v11.5.0.beta,enabled,bound_decay,47,107,4,route,PASS,"rest=(1, 0) atomic_tracks=0"
v11.5.0.beta,enabled,bound_decay,47,107,4,target,PASS,"material=['1', '1', '47', '107', '0x1p+0'] expected=(1, 1, 47, 107, 1.0)"
v11.5.0.beta,enabled,bound_decay,47,107,4,particles,PASS,particle table
v11.5.0.beta,enabled,bound_decay,47,107,4,config,PASS,"config=['mizuno2025', 'mudirac130', 'set', '0.5.1'] expected=['mizuno2025', 'mudirac130', 'set', '0.5.1']"
v11.5.0.beta,enabled,bound_decay,47,107,4,lookups,PASS,"rate zeff kshell checked for 47,107"
v11.5.0.beta,enabled,bound_decay,47,107,4,levels,PASS,levels=table:7 formula:6
v11.5.0.beta,enabled,bound_decay,47,107,4,d9,PASS,transitions table=2826 mixed=1000 formula=1279
v11.5.0.beta,enabled,bound_decay,47,107,4,parity,PASS,digest=62474280c24f992614437a7c3cc0e6ec63416a0fc1f3554f04fff02bd9fb88bc reference=62474280c24f992614437a7c3cc0e6ec63416a0fc1f3554f04fff02bd9fb88bc
v11.5.0.beta,enabled,bound_decay,47,107,4,threads,PASS,sorted worker records vs one thread
v11.5.0.beta,preserved,bound_decay,47,107,1,events,PASS,events=1000
v11.5.0.beta,preserved,bound_decay,47,107,1,route,PASS,"rest=(1, 0) atomic_tracks=0"
v11.5.0.beta,preserved,bound_decay,47,107,1,target,PASS,"material=['1', '1', '47', '107', '0x1p+0'] expected=(1, 1, 47, 107, 1.0)"
v11.5.0.beta,preserved,bound_decay,47,107,1,particles,PASS,particle table
v11.5.0.beta,preserved,bound_decay,47,107,1,config,PASS,config=None expected=None
v11.5.0.beta,preserved,bound_decay,47,107,1,lookups,PASS,not enabled
v11.5.0.beta,preserved,bound_decay,47,107,1,levels,PASS,reference
v11.5.0.beta,preserved,bound_decay,47,107,1,d9,PASS,not enabled
v11.5.0.beta,preserved,bound_decay,47,107,1,parity,INFO,digest=bf0e290ce46a95b822cf776c00e8728d281558cd9ddc3dd121075dc9ccea4810 reference=bf0e290ce46a95b822cf776c00e8728d281558cd9ddc3dd121075dc9ccea4810
v11.5.0.beta,preserved,bound_decay,47,107,1,threads,PASS,one-thread reference
